* cfeee1b - (HEAD -> main, origin/main) chore: remove funções não utilizadas (João Ramajo, 2 minutes ago)
* e9aebc6 - feat: adiciona modal e mutation para a criação de uma nova categoria (João Ramajo, 15 minutes ago)
* cda19d3 - feat: adiciona tabs no dashboard e ajusta modal d edição (João Ramajo, 56 minutes ago)
* 11307c1 - feat: adiciona select para categorias no modal de edição (João Ramajo, 9 hours ago)
* 0f85ee8 - feat: adiciona select para categorias no modal de criação de um ponto de coleta (João Ramajo, 9 hours ago)
* 45693e3 - chore: ajusta isloading (João Ramajo, 10 hours ago)
* b099f85 - feat: adiciona input de opções para categorias (João Ramajo, 10 hours ago)
* 52b1232 - fix: corrige redirecionamento do usuario ao realizar login (João Ramajo, 10 hours ago)
* 92db3b1 - feat: adiciona pagina para guia de uso (João Ramajo, 10 hours ago)
* eb95ff6 - fix: ajusta roteamento na vercel (João Ramajo, 10 hours ago)
* f5abc24 - feat: implementa atualização de um registro (João Ramajo, 10 hours ago)
* 4999814 - feat: adiciona pagina para termos e condições (João Ramajo, 11 hours ago)
* a58f48f - doc: adiciona novo README (João Ramajo, 12 hours ago)
* a53f338 - fix: ajusta caminho para logos (João Ramajo, 13 hours ago)
* eb7c791 - feat: altera brand para kado (João Ramajo, 13 hours ago)
* c8637aa - feat: adiciona função para baixar planilha em csv de backup (João Ramajo, 14 hours ago)
* 41ed489 - feat: implementa lógica para a criação de uma nova despesa e criação do context provider para os modais (João Ramajo, 14 hours ago)
* ea7cf60 - feat: adiciona modal para criação de uma despesa (João Ramajo, 14 hours ago)
* 7ce12ca - fix: ajusta condição para estados da tabela exibida (João Ramajo, 15 hours ago)
* d0a6909 - chore: adiciona link para cadastro no hero (João Ramajo, 15 hours ago)
* 56dc457 - feat: implementa nova lista de despesas e adiciona query para buscar items (João Ramajo, 15 hours ago)
* 009f1c1 - chore: adiciona aviso de em dev (João Ramajo, 16 hours ago)
* 3014d05 - feat: implementa query para buscar resumos de gastos (João Ramajo, 16 hours ago)
* ac0cebb - refactor: melhora a usabilidade e design do header (João Ramajo, 17 hours ago)
* 181f4c9 - feat: implementa lógica para login e altera formulário para utilizar os novos componentes genericos (João Ramajo, 17 hours ago)
* b7c3d6b - feat: adiciona pagina de apoio (João Ramajo, 17 hours ago)
* 66e2fae - feat: implementa componentes para inputs para loading e fluxo de cadastro completo (João Ramajo, 18 hours ago)
* 5f3d0a0 - fix: ajusta renderização de erros de formulario para usar a mesma resposta que a api laravel (João Ramajo, 18 hours ago)
* cc4bc1d - feat: implementa caso de uso para comunicação com a api e implementa um sistema de resposta para o usuário (João Ramajo, 19 hours ago)
* 6a47cdf - feat: adiciona biome como linter (João Ramajo, 20 hours ago)
* 6ddb393 - init: inicializa projeto com paginas basicas (João Ramajo, 20 hours ago)
